279.06,1.36
282.83,2.01
292.35,2.25
301.67,2.44
313.74,2.5
319.21,2.62
335.01,2.21
347.01,1.81
360,1.61
4.51,1.48
282.53,0.72
300.07,0.57
317.49,1.27
348.23,1.27
15.64,1.35
2.26,1.97
358.89,2.67
330.26,2.09
325.36,1.73
339.44,1.33
4.76,1.25
32.86,1.48
71.15,1.12
87.88,0.53
77.2,0.44
101.56,0.87
130.73,0.92
127.3,0.51
157.75,0.46
202.38,0.36
242.74,0.72
244.44,0.99
249.04,0.98
247.25,0.65
283.09,0.86
285.42,1.17
260.13,0.91
135,0.99
145.41,0.68
154.54,0.45
263.42,0.51
257.91,0.28
352.88,0.31
2.6,0.43
24.78,0.83
30.07,1.28
278.86,1.51
254.27,1.43
272.57,1.73
290.27,1.35
307.88,0.89
336.37,0.34
14.93,0.3
32.2,0.62
45.97,0.81
41.55,1.14
265.24,0.23
310.6,0.36
360,0.23
146.31,0.63
142.25,0.76
123.69,0.42
85.24,0.47
199.29,0.41
256.87,0.6
277.39,1.06
271.47,0.76
262.57,0.45
228.01,0.52
219.4,0.7
225,0.52
236.98,0.46
281.89,0.75
305.54,0.84
34.7,0.31
46.97,0.4
165.96,0.72
172.57,0.45
120.41,1.04
113.28,1.82
104.66,2.61
98.45,1.98
83.42,1.53
42.88,0.74
239.5,1.65
258.31,2.3
275.98,2.05
270,1.17
132.44,0.92
127.18,0.71
124.51,0.75
236.52,1.44
264.75,1.91
271.75,1.91
263.29,2.33
280.53,3.08
285.64,3.53
289.83,3.78
295.29,3.91
308.01,4.29
316.82,3.46
139.13,3.05
144.25,2.39
137.73,1.93
117.76,1.67
99.59,1.87
95.06,2.05
86.86,2.36
70.88,2.06
57.83,1.9
45,1.91
42.8,1.91
31.09,2.06
15.79,2.67
68.2,1.05
57.22,1.36
49.9,1.45
36.36,2.2
31.48,2.94
13.47,2.84
5.63,2.77
356.76,3.09
347.13,2.79
334.86,2.1
314.14,1.84
296.2,1.36
266.63,0.99
262,1.26
247.91,1.45
238.5,0.71
232.91,1
191.13,1.21
173.09,1.29
158.5,1.38
143.79,1.35
71.57,0.37
100.71,0.73
129.29,0.55
220.24,1.32
200.92,2.12
193.71,2.46
186.61,2.7
186.9,2.43
192.89,2.35
167.66,1.91
186.75,1.82
201.35,1.82
209.23,1.87
221.35,1.94
220.2,1.81
232.99,1.58
240.57,1.74
241.93,1.65
243.06,1.33
251.22,1.03
255.96,0.96
253.69,0.83
252.41,0.84
258.69,0.79
254.25,0.79
255.96,0.64
256.61,0.84
262.23,0.86
267.8,1.01
273.58,0.93
268.88,0.99
273.43,0.97
274.57,0.97
276.71,1
280.2,0.99
282.91,0.96
285.17,1.19
288.68,1.46
293.63,1.7
295.26,1.91
180,1.15
179.09,1.22
185.53,1.21
185.96,1.31
186.61,1.35
193.5,1.5
195.95,1.27
202.75,1.31
202.5,1.47
212.28,1.31
214.08,1.6
215.69,1.7
220.01,2.06
349.93,2.11
356.75,1.71
2.94,1.52
11.66,1.25
14.04,0.88
204.9,1.2
201.3,1.23
190.3,1.3
205.89,1.47
211.5,1.41
205.84,1.38
138.58,2.2
140.81,2.31
140.71,2.76
123.59,3.06
74.42,2.1
168.9,2.12
172.74,2
169.49,1.92
169.59,1.94
160.27,1.9
154.13,2.14
79.35,2
64,1.77
59.32,1.33
30.65,1.22
156.97,0.84
149.93,1.28
108.58,2.44
196.39,0.69
201.8,0.73
348.11,0.75
349.7,0.87
344.74,1.11
343.61,1.03
1.12,0.99
5.19,0.86
14.04,0.72
348.69,0.4
39.43,1.13
4.76,0.94
239.74,1.62
252.9,1.59
263.07,1.45
251.05,1.38
262.21,1.86
263.56,2.42
268.35,2.7
272.71,3.29
280.95,3.68
290.75,3.35
294.05,2.57
311.59,2.31
239.86,1.39
241.06,1.89
234.16,2.16
231.75,2.1
234.46,2.01
293.96,2.68
284.26,2.37
291.15,2.85
282.37,3.72
267.82,3.58
254.88,2.98
251.57,2.34
257.37,2.31
255.86,2.55
265.91,1.91
38.33,1.07
356.12,1.15
350.91,0.98
9.09,1.48
168.02,0.66
20.32,0.56
255.96,0.56
225,0.44
101.31,1.19
113.33,1.08
116.95,1.29
119.13,1.36
128.16,1.73
85.14,0.92
253.81,0.63
254.29,0.65
10.65,2
14.77,1.83
35.46,1.74
35.84,1.29
40.73,0.92
30.07,0.43
1.91,0.58
331.7,0.57
332.24,0.83
328.8,1.61
323.82,1.61
301.61,1.19
268.49,0.74
279.33,1.44
256.58,1.76
0.74,1.5
2.05,1.63
5.86,1.52
14.24,1.34
21.5,1.38
9.02,1.24
21.34,1.34
24.38,1.37
17.04,1.26
28.01,1.03
33.27,0.74
191.89,0.75
186.01,0.74
174.29,1.56
185.44,2.05
185.91,1.7
174.45,1.41
197.53,1.55
225,1.51
241.02,1.44
244.26,1.21
259.46,0.85
256.37,0.66
252.35,0.45
249.44,0.33
231.71,0.47
237.99,0.55
233.47,0.65
237.53,0.51
235.41,0.68
239.42,0.99
242.53,1.64
247.99,1.97
251.77,1.74
248.68,1.71
294.49,2.16
289.25,2.59
288.56,2.93
290.74,2.91
289.16,2.9
292.51,2.33
270,2.1
229.61,1.71
230.53,2.14
220.1,1.93
306.87,0.78
313.23,1.33
314.6,1.97
318.12,2.27
323.22,2.5
321.07,1.95
335.97,1.57
150.14,1.21
149.64,1.58
161.57,1.54
181.85,1.21
189.31,1.2
209.64,1.3
237.65,1.38
259.16,1.86
150.15,1.37
183.81,1.46
205.23,1.87
229.64,2.04
265.53,1.25
288.95,1.38
300.36,1.58
315.67,1.17
321.98,1.36
323.82,1.61
326.31,1.54
318.76,2.09
334.23,1.25
357.97,2.2
359.54,2.41
356.33,2.12
347.99,1.87
349.7,1.74
103.03,2.41
110.56,1.33
153.43,0.26
190.62,0.63
197.59,0.84
197.35,0.98
198.92,0.72
199.03,0.6
211.26,0.64
226.74,0.91
219.21,0.95
30.62,1.11
211.08,1.66
209.11,1.96
204.78,1.95
190.81,1.76
180,1.87
167.16,1.57
151.39,1.7
131.82,1.98
109.65,1.73
92.6,0.86
257.93,2.88
259.3,3.24
268.59,3.17
279.16,3.05
281.38,3.15
287.51,3.04
295.92,3.11
305.16,2.73
310.24,2.65
318.22,2.45
332.33,2.26
341.15,2.53
308.19,2.2
293.88,1.3
307.18,0.71
70.35,0.29
81.87,0.27
57.09,0.39
72.18,0.57
233.13,0.49
251.15,0.84
260.75,0.85
266.99,1.48
270,0.93
258.91,1.01
257.32,0.8
248.5,0.69
244.44,0.5
197.24,0.59
169.11,0.51
146.89,0.53
295.68,1.12
278.88,1.26
262.96,1.59
258.15,1.61
246.8,1.63
238.28,2.51
187.59,1.47
164.85,0.97
145.84,0.66
117.65,0.46
100.78,0.42
95.44,0.41
95.91,0.57
328.89,1.76
345.65,2.3
352.01,2.98
355.79,3.53
0.39,3.81
3.74,3.97
8.48,4.22
15.57,3.77
304.51,2.01
299.84,2.03
272.07,2.15
175.91,1.09
175.31,1.59
176.63,2.21
322.06,1.45
343.12,1.81
349.24,1.98
6.22,1.97
12.59,1.87
28.03,1.7
288.24,1.8
285.04,2.7
304.67,2.84
314.41,2.67
309.51,2.44
310.03,2.54
296.16,2.47
302.38,1.89
305.72,2.13
304.4,2.61
297.9,2.99
280.45,2.04
280.73,1.88
275.55,2.01
268.06,2.29
254.8,1.85
247.86,1.24
11.31,1.49
11.96,2.34
9.01,3.23
5.86,3.81
5.37,3.94
12.22,4.31
32.57,0.83
45,1.43
57.8,1.86
79.57,2.47
101.75,2.48
112.89,1.9
122.87,1.5
130.91,1.54
147.76,1.49
142.82,1.41
